nombre,precio,tipo,capacidad,rpm,tamano,bus,link,imagen
Toshiba N300 4 TB,129.690,HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/36823-toshiba-n300-4-tb-hdwq140xzsta,https://s3.amazonaws.com/solotodo-core/media/cache/f2/ea/f2ea35dac9c020f77184e840e12bc644.png
Seagate IronWolf NAS 4 TB,143.250,HDD,4 TB,5900 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33704-seagate-ironwolf-nas-4-tb-st4000vn008,https://s3.amazonaws.com/solotodo-core/media/cache/84/e0/84e03b315a8ae62a8ce1ba4a004a9cfa.png
Dell 1 TB,144.990,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/74976-dell-1-tb-400-aupw,https://s3.amazonaws.com/solotodo-core/media/cache/4b/5a/4b5abd745ca00854bcf2651ad913bfb6.png
HP 2 TB,149.990,HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/32992-hp-2-tb-801884-b21,https://s3.amazonaws.com/solotodo-core/media/cache/05/b8/05b82dcd59361ef8289ef9671600e01d.png
Toshiba X300 5 TB,150.990,HDD,5 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/23050-toshiba-x300-5-tb-hdwe150xzsta,https://s3.amazonaws.com/solotodo-core/media/cache/07/f8/07f813a7a5249da897dc5fd4da6319ab.png
Lenovo 1 TB,153.252,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58104-lenovo-1-tb-4xb7a13554,https://s3.amazonaws.com/solotodo-core/media/cache/84/e0/84e03b315a8ae62a8ce1ba4a004a9cfa.png
Dell 2 TB,351.270,HDD,2 TB,7200 rpm,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58383-dell-2-tb-400-atjz,https://s3.amazonaws.com/solotodo-core/media/cache/d8/f1/d8f1a335966aaca6f9139ebf8fcd3e67.png
Western Digital Purple 6 TB,176.990,HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/18609-western-digital-purple-6-tb-wd60purx,https://s3.amazonaws.com/solotodo-core/media/cache/f7/e6/f7e6c6b30e49114ca7743915c38784bc.png
Western Digital Gold 4 TB,179.500,HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/73057-western-digital-gold-4-tb-wd4003fryz,https://s3.amazonaws.com/solotodo-core/media/cache/68/90/6890dba4b7d3faa4baea792555f56c7e.png
Seagate SkyHawk 6 TB,179.990,HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33949-seagate-skyhawk-6-tb-st6000vx0023,https://s3.amazonaws.com/solotodo-core/media/cache/7a/e4/7ae40985d530cb761570adfee8e5143c.png
Western Digital Red 6 TB,192.185,HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58914-western-digital-red-6-tb-wd60efax,https://s3.amazonaws.com/solotodo-core/media/cache/56/c9/56c9377876cc6d3ee742b8c8464f16d9.png
Seagate IronWolf NAS 6 TB,189.334,HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/53770-seagate-ironwolf-nas-6-tb-st6000vn0033,https://solotodo-core.s3.amazonaws.com/media/cache/eb/0d/eb0d8f9dbe748a8cdd2f07f59c355b8d.png
Lenovo 900 GB,192.179,SAS,900 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/51007-lenovo-900-gb-7xb7a00026,https://s3.amazonaws.com/solotodo-core/media/cache/4e/54/4e54b97c330677157e102e08f2eb066d.png
Toshiba N300 6 TB,192.980,HDD,6 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/36701-toshiba-n300-6-tb-hdwn160xzsta,https://s3.amazonaws.com/solotodo-core/media/cache/09/fa/09fa3f4526296f6d086d605b54b54547.png
Western Digital Blue 6 TB,192.990,HDD,6 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/23441-western-digital-blue-6-tb-wd60ezrz,https://s3.amazonaws.com/solotodo-core/media/cache/a3/d7/a3d7436a103aa913417e2284803afc4d.png
Lenovo 1200 GB,303.900,SAS,1200 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/76620-lenovo-1200-gb-4xb7a14112,https://s3.amazonaws.com/solotodo-core/media/cache/a1/c3/a1c35b6d77eb3e7dafba31d6b1517417.png
Toshiba S300 8 TB,209.990,HDD,8 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/50119-toshiba-s300-8-tb-hdwt380uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/d2/c9/d2c9c3d50847a8bd26f6d27a77fac4de.png
