nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
ASUS PRIME Z270M-PLUS,114900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/37872-asus-prime-z270m-plus,https://s3.amazonaws.com/solotodo-core/media/cache/ef/ce/efce12e91ded061c383277964a98858f.png
MSI H370 GAMING PRO CARBON,114900,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/43864-msi-h370-gaming-pro-carbon,https://s3.amazonaws.com/solotodo-core/media/cache/44/65/44658b391c36917575e7a9df4b54aa9d.png
Gigabyte GA-Z270M-D3H,115900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/36032-gigabyte-ga-z270m-d3h,https://s3.amazonaws.com/solotodo-core/media/cache/40/94/4094fc019fa38b337ff46cbb3ed184c5.png
Gigabyte B360 AORUS GAMING 3 WIFI,119900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/45024-gigabyte-b360-aorus-gaming-3-wifi,https://solotodo-core.s3.amazonaws.com/media/cache/cf/3e/cf3e2fde76f913128239f3ce23b2d7c9.png
ASUS TUF B360M-PLUS GAMING,119990,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45546-asus-tuf-b360m-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/57/7a/577ac04e810d674c32c228b290599f8a.png
MSI Z270 GAMING M3,117900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32368-msi-z270-gaming-m3,https://s3.amazonaws.com/solotodo-core/media/cache/bf/80/bf808ab3f0e4b56ad4dfc3aabf8efa9a.png
ASUS ROG STRIX B360-H GAMING,118900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/44658-asus-rog-strix-b360-h-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/14/9b/149b4e099741309974414fe9d92ff641.png
ASUS TUF B365-PLUS GAMING,119900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/72839-asus-tuf-b365-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/d4/80/d4800f93f2487a2518b84cbaf3ac0ce3.png
ASUS Z170-K,122900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25198-asus-z170-k,https://s3.amazonaws.com/solotodo-core/media/cache/6e/3e/6e3ec12ea5bfa1d66f898c6ff769d6de.png
ASRock Fatal1ty B450 Gaming-ITX/ac,127900,AM4,AMD B450 (AM4),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/49278-asrock-fatal1ty-b450-gaming-itxac,https://s3.amazonaws.com/solotodo-core/media/cache/6f/02/6f026007a17ae594aa85818daf4586de.png
ASUS TUF B450-PLUS GAMING,124900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50451-asus-tuf-b450-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/bb/82/bb8260a709d4ef3f7a7f9834628f67cf.png
MSI B450 TOMAHAWK,124900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50189-msi-b450-tomahawk,https://s3.amazonaws.com/solotodo-core/media/cache/d9/27/d92741f8674d391e3e8c6534c8670c67.png
MSI Z270 KRAIT GAMING,125900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32135-msi-z270-krait-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/76/76/767622c4076abbc0c4d409acaa47b88c.png
