nombre,precio,capacidad,formato,bus,link,imagen
Crucial P1 1 TB,119990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/56111-crucial-p1-1-tb-ct1000p1ssd8,https://s3.amazonaws.com/solotodo-core/media/cache/df/58/df5842a34a1ba371b864446b247c93ab.png
Western Digital Blue 3D NAND 1 TB,123424,1 TB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42076-western-digital-blue-3d-nand-1-tb-wds100t2b0b,https://s3.amazonaws.com/solotodo-core/media/cache/cb/83/cb83ed3a79346d64b7b553d2182ef4fd.png
Corsair Neutron XT 480 GB,119900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/20846-corsair-neutron-xt-480-gb-cssd-n480gbxt,https://s3.amazonaws.com/solotodo-core/media/cache/f2/97/f297e9c70c0c0fb14b35a72f38976a42.png
Kingston KC2000 500 GB,132500,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62012-kingston-kc2000-500-gb-skc2000m8500g,https://solotodo-core.s3.amazonaws.com/media/cache/ab/c1/abc106c0d27899efd3d6cafe6f901062.png
HP Z Turbo Drive G4 256 GB,132655,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/51642-hp-z-turbo-drive-g4-256-gb-1pd53aa,https://s3.amazonaws.com/solotodo-core/media/cache/46/fc/46fc0dd765d2406579ccf0cc4f9eeda5.png
Samsung 970 Evo Plus 500 GB,145000,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/56722-samsung-970-evo-plus-500-gb-mz-v7s500bam,https://s3.amazonaws.com/solotodo-core/media/cache/1b/87/1b8744b0da542c2fa7c1bee8235f7eec.png
Samsung 970 Evo 500 GB,149990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/45636-samsung-970-evo-500-gb-mz-v7e500bw,https://s3.amazonaws.com/solotodo-core/media/cache/0a/65/0a65b04f8e23c04f80e2debda0cde6df.png
Team T-Force Delta MAX RGB 1 TB,150936,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/75947-team-t-force-delta-max-rgb-1-tb-t253tm001t3c302,https://s3.amazonaws.com/solotodo-core/media/cache/25/41/2541f1e48243cc3758a8fe012ba94eb1.png
Lenovo ThinkPad 256 GB,151643,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58245-lenovo-thinkpad-256-gb-4xb0n10299,https://s3.amazonaws.com/solotodo-core/media/cache/3b/5c/3b5c7d264ef918bf3a92cd391846674f.png
Intel DC S4500 240 GB,152608,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43722-intel-dc-s4500-240-gb-ssdsc2kb240g701,https://s3.amazonaws.com/solotodo-core/media/cache/e1/04/e1040deffe54baff6805fe261e049bc5.png
Intel 660P 1 TB,155648,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/52700-intel-660p-1-tb-ssdpeknw010t8x1,https://s3.amazonaws.com/solotodo-core/media/cache/59/15/591576c31064317469479035a4c2ad6b.png
