nombre,precio,capacidad,formato,bus,link
Western Digital Blue SN550 1 TB,119.990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/71318-western-digital-blue-sn550-1-tb-wds100t2b0c
Crucial P1 1 TB,119.990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/56111-crucial-p1-1-tb-ct1000p1ssd8
Western Digital Blue 3D NAND 1 TB,123.424,1 TB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42076-western-digital-blue-3d-nand-1-tb-wds100t2b0b
Corsair Neutron XT 480 GB,119.900,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/20846-corsair-neutron-xt-480-gb-cssd-n480gbxt
Kingston KC2000 500 GB,132.500,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62012-kingston-kc2000-500-gb-skc2000m8500g
HP Z Turbo Drive G4 256 GB,132.655,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/51642-hp-z-turbo-drive-g4-256-gb-1pd53aa
Samsung 970 Evo Plus 500 GB,145.000,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/56722-samsung-970-evo-plus-500-gb-mz-v7s500bam
Samsung 970 Evo 500 GB,149.990,500 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/45636-samsung-970-evo-500-gb-mz-v7e500bw
Team T-Force Delta MAX RGB 1 TB,150.936,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/75947-team-t-force-delta-max-rgb-1-tb-t253tm001t3c302
Lenovo ThinkPad 256 GB,151.643,256 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58245-lenovo-thinkpad-256-gb-4xb0n10299
Intel DC S4500 240 GB,152.608,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43722-intel-dc-s4500-240-gb-ssdsc2kb240g701
Intel 660P 1 TB,155.648,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/52700-intel-660p-1-tb-ssdpeknw010t8x1
Kingston HyperX Fury RGB 960 GB,153.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/51728-kingston-hyperx-fury-rgb-960-gb-shfr200960g
Western Digital Black 1 TB,255.360,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/60614-western-digital-black-1-tb-wds100t3xhc
Kingston KC600 1 TB,161.728,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/69857-kingston-kc600-1-tb-skc6001024g
A-DATA XPG Spectrix S40G RGB 1 TB,164.990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65395-a-data-xpg-spectrix-s40g-rgb-1-tb-as40g-1tt-c
Gigabyte Aorus 500 GB,169.990,500 GB,M.2,PCI Express 4.0,https://www.solotodo.com/products/66386-gigabyte-aorus-500-gb-gp-asm2ne6500gttd
Kingston A2000 1 TB,173.990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/65075-kingston-a2000-1-tb-sa2000m81000g
Micron 1100 1 TB,189.990,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42997-micron-1100-1-tb-mtfddak1t0tbn-1ar12abyy
Kingston DC500 960 GB,193.829,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/58605-kingston-dc500-960-gb-sedc500r960g
Samsung 860 EVO 1 TB,198.954,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42793-samsung-860-evo-1-tb-mz-76e1t0bam
Kingston SSDNow UV400 480 GB,199.990,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/26191-kingston-ssdnow-uv400-480-gb-suv400s37480g
Seagate FireCuda 510 1 TB,204.013,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/66411-seagate-firecuda-510-1-tb-zp1000gm30011
Intel S4500 240 GB,213.170,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/56328-intel-s4500-240-gb-7sd7a05742
A-DATA XPG SX8200 Pro 1 TB,213.886,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/55889-a-data-xpg-sx8200-pro-1-tb-asx8200pnp-1tt-c
HP 480 GB,1.021.682,480 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/59544-hp-480-gb-875579-b21
Crucial MX500 2 TB,219.900,2 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/42562-crucial-mx500-2-tb-ct2000mx500ssd1
HP 240 GB,243.164,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/57261-hp-240-gb-p04556-b21
Crucial BX500 2 TB,224.990,2 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/75041-crucial-bx500-2-tb-ct2000bx500ssd1
Western Digital Blue 1 TB,226.990,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/30414-western-digital-blue-1-tb-wds100t1b0a
Kingston SSDNow A400 1920 GB,228.608,1920 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68643-kingston-ssdnow-a400-1920-gb-sa400s371920g
Kingston KC2000 1 TB,230.432,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62013-kingston-kc2000-1-tb-skc2000m81000g
Western Digital Blue 3D NAND 2 TB,399.990,2 TB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43976-western-digital-blue-3d-nand-2-tb-wds200t2b0b
Kingston SSDNow UV400 960 GB,254.116,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/26192-kingston-ssdnow-uv400-960-gb-suv400s37960g
Samsung 970 Evo Plus 1 TB,263.088,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/56883-samsung-970-evo-plus-1-tb-mz-v7s1t0bam
Lenovo 480 GB,268.269,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68573-lenovo-480-gb-7sd7a05764
Seagate IronWolf 110 960 GB,275.500,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/70137-seagate-ironwolf-110-960-gb-za960nm10011
Intel S4510 240 GB,282.990,240 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/55972-intel-s4510-240-gb-4xb7a10247
Lenovo 960 GB,292.827,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66509-lenovo-960-gb-4xb7a10197
Kingston KC600 2 TB,315.552,2 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/74574-kingston-kc600-2-tb-skc6002048g
Kingston DC450R 1920 GB,316.160,1920 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/69480-kingston-dc450r-1920-gb-sedc450r1920g
Kingston KC2000 2 TB,320.290,2 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/62016-kingston-kc2000-2-tb-skc2000m82000g
Kingston DC500R 1920 GB,341.833,1920 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/62010-kingston-dc500r-1920-gb-sedc500r1920g
Dell 400 GB,396.702,400 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/55998-dell-400-gb-400-aift
HP 960 GB,668.809,960 GB,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/57066-hp-960-gb-p07928-b21
Kingston DC450R 3840 GB,531.900,3840 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/69482-kingston-dc450r-3840-gb-sedc450r3840g
HP Z Turbo Drive G4 1 TB,540.485,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/57807-hp-z-turbo-drive-g4-1-tb-1pd55aa
Kingston DC500R 3840 GB,601.900,3840 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/64088-kingston-dc500r-3840-gb-sedc500r3840g
HP 1920 GB,966.318,1920 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/66508-hp-1920-gb-p07930-b21
