nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
MSI MPG Z390 GAMING PLUS,143.990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52307-msi-mpg-z390-gaming-plus
Gigabyte Z390 UD,144.799,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52309-gigabyte-z390-ud
ASUS TUF X470-PLUS GAMING,144.990,AM4,AMD X470 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/46581-asus-tuf-x470-plus-gaming
Gigabyte Z390 M GAMING,153.890,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/60147-gigabyte-z390-m-gaming
ASUS Maximus VIII Ranger,149.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25191-asus-maximus-viii-ranger
ASRock Z390 Phantom Gaming 6,155.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53324-asrock-z390-phantom-gaming-6
ASRock Z390 Steel Legend,163.500,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/73245-asrock-z390-steel-legend
Gigabyte GA-Z270N-GAMING 5,159.900,LGA 1151,Intel Z270 (LGA 1151),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/38181-gigabyte-ga-z270n-gaming-5
ASUS TUF Z390-PLUS GAMING,169.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52304-asus-tuf-z390-plus-gaming-wi-fi
ASRock X570 Phantom Gaming 4,166.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64741-asrock-x570-phantom-gaming-4
ASUS PRIME Z390-A,171.990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53325-asus-prime-z390-a
