nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
In Win 101C - White,84.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/49227-in-win-101c-white
In Win 101C - Black,84.990,ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/49597-in-win-101c-black
Thermaltake Commander C31 TG ARGB Edition (CA-1N2-00M1WN-00),87.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63997-thermaltake-commander-c31-tg-argb-edition-ca-1n2-00m1wn-00
Lian Li Lancool One Digital - White,89.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/60872-lian-li-lancool-one-digital-white
In Win 301C - Black,89.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/49226-in-win-301c-black
Thermaltake View 37 ARGB Edition (CA-1J7-00M1WN-04),89.984,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63847-thermaltake-view-37-argb-edition-ca-1j7-00m1wn-04
EVGA DG-75 (150-B0-2020-KR),89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/42989-evga-dg-75-150-b0-2020-kr
EVGA DG-75 Alpine White (156-F1-2022-KR),89.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/43845-evga-dg-75-alpine-white-156-f1-2022-kr
Cooler Master Silencio S600 TG (MCS-S600-KG5N-S00),89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/64686-cooler-master-silencio-s600-tg-mcs-s600-kg5n-s00
In Win 305 - Black,89.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/40599-in-win-305-black
Azza Titan 240 (CSAZ-240),89.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/34788-azza-titan-240-csaz-240
EVGA DG-76 Apline White (166-W1-2232-KR),89.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43844-evga-dg-76-apline-white-166-w1-2232-kr
Thermaltake Commander C32 TG ARGB Edition (CA-1N3-00M1WN-00),95.201,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63998-thermaltake-commander-c32-tg-argb-edition-ca-1n3-00m1wn-00
Corsair Obsidian Series 450D (CC-9011049-WW),94.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/19741-corsair-obsidian-series-450d-cc-9011049-ww
Gamemax Raider XT,99.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67623-gamemax-raider-xt
NZXT Manta - Black Windowless (CA-MANTC-M1),99.990,Mini ITX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/35236-nzxt-manta-black-windowless-ca-mantc-m1
